Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.09429941627306E-06,0.00914502822540359,0.000919758988003232,0,0,0,0.0587031198137638,1.97366394249923E-05,-1.31667350409796E-14,-3.08309307955023E-11,3.6446831443689E-05,-4.51466394606905E-08,1.84877574896332E-05,0,0,0,0,0,0,package://spider-vix/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-vix/meshes/base_link.STL,,riskybear_V2.0_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Upper0_Link,0.0209185583097189,0.0160286850811715,0.00153294453359323,0,0,0,0.0118251186545954,4.61120976210626E-07,4.49041339915628E-08,6.56956817095521E-08,1.8255912562334E-06,1.91937260332538E-09,1.60304550834628E-06,0,0,0,0,0,0,package://spider-vix/meshes/Upper0_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-vix/meshes/Upper0_Link.STL,,riskybear_V2.0_upperleg_1-1,Origin_Upper0,Axis_Upper0,Upper0,continuous,0.0308492424049175,0.0308492424049175,0.000999999999999979,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
Lower0_Link,0.00209999999999923,-0.0122899282181816,0.0149225089696745,0,0,0,0.00418426133217533,2.69124093506799E-06,-7.79896901461664E-22,1.93468744829283E-21,2.617980279715E-06,1.69100989194404E-07,1.08378466172251E-07,0,0,0,0,0,0,package://spider-vix/meshes/Lower0_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-vix/meshes/Lower0_Link.STL,,SLS_leg_lower-3,Origin_Lower0,Axis_Lower0,Lower0,continuous,0.0550943670538193,0.0144,0,1.57079632679489,-1.5707963267949,0,Upper0_Link,1,0,0,,,,,,,,,,,,
Upper1_Link,0.0209172541861261,0.0160286848124225,-0.00155535406574647,0,0,0,0.0118251181300378,4.61120959029633E-07,4.5017034620631E-08,-6.48001167844265E-08,1.82559115397433E-06,-1.91348598845316E-09,1.60304539593837E-06,0,0,0,0,0,0,package://spider-vix/meshes/Upper1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-vix/meshes/Upper1_Link.STL,,riskybear_V2.0_upperleg_2-1,Origin_Upper1,Axis_Upper1,Upper1,continuous,0.0308492424049175,-0.0308492424049175,0.000999999999999978,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
Lower1_Link,-0.00210000000000103,-0.012289928218182,0.0149225089696744,0,0,0,0.00418426133217533,2.69124093506799E-06,-7.91336914694195E-22,1.9488699337965E-21,2.617980279715E-06,1.69100989194404E-07,1.08378466172251E-07,0,0,0,0,0,0,package://spider-vix/meshes/Lower1_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-vix/meshes/Lower1_Link.STL,,SLS_leg_lower-4,Origin_Lower1,Axis_Lower1,Lower1,continuous,0.0550943670538193,0.0144,0,1.57079632679489,-1.5707963267949,0,Upper1_Link,1,0,0,,,,,,,,,,,,
Upper2_Link,0.0209185583097189,0.0160286850811715,0.0015329445335931,0,0,0,0.0118251186545954,4.61120976210626E-07,4.49041339915629E-08,6.56956817095602E-08,1.8255912562334E-06,1.91937260332484E-09,1.60304550834627E-06,0,0,0,0,0,0,package://spider-vix/meshes/Upper2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-vix/meshes/Upper2_Link.STL,,riskybear_V2.0_upperleg_1-2,Origin_Upper2,Axis_Upper2,Upper2,continuous,-0.0308492424049169,-0.0308492424049181,0.000999999999999996,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
Lower2_Link,0.00210000000000053,-0.0122899282181823,0.0149225089696742,0,0,0,0.00418426133217533,2.69124093506799E-06,-2.88520673658809E-22,7.35306920906196E-22,2.61798027971499E-06,1.69100989194456E-07,1.08378466172258E-07,0,0,0,0,0,0,package://spider-vix/meshes/Lower2_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-vix/meshes/Lower2_Link.STL,,SLS_leg_lower-2,Origin_Lower2,Axis_Lower2,Lower2,continuous,0.0550943670538193,0.0144,0,1.57079632679491,-1.5707963267949,0,Upper2_Link,1,0,0,,,,,,,,,,,,
Upper3_Link,0.0209172541861261,0.0160286848124225,-0.0015553540657466,0,0,0,0.0118251181300378,4.61120959029633E-07,4.50170346206311E-08,-6.48001167844185E-08,1.82559115397434E-06,-1.91348598845344E-09,1.60304539593837E-06,0,0,0,0,0,0,package://spider-vix/meshes/Upper3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-vix/meshes/Upper3_Link.STL,,riskybear_V2.0_upperleg_2-2,Origin_Upper3,Axis_Upper3,Upper3,continuous,-0.0308492424049179,0.0308492424049171,0.000999999999999987,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
Lower3_Link,-0.00209999999999913,-0.0122899282181817,0.0149225089696742,0,0,0,0.00418426133217533,2.69124093506799E-06,-2.71831853915227E-22,6.68649010177241E-22,2.61798027971499E-06,1.69100989194456E-07,1.08378466172258E-07,0,0,0,0,0,0,package://spider-vix/meshes/Lower3_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-vix/meshes/Lower3_Link.STL,,SLS_leg_lower-1,Origin_Lower3,Axis_Lower3,Lower3,continuous,0.0550943670538193,0.0144,0,1.57079632679491,-1.5707963267949,0,Upper3_Link,1,0,0,,,,,,,,,,,,
